Word,Length,LgSUBTLWF,OLD,PLD
affair,6,3.177,2.55,1.75
affairs,7,2.874,2.75,1.85
affect,6,2.755,2.45,1.9
affectation,11,0.903,3.6,3.5
affected,8,2.539,2.65,2.1
affecting,9,2.117,2.75,2.15
affectingly,11,,4.45,3.6
affection,9,2.635,2.65,1.95
affectionate,12,2.064,4.4,3.55
affectionately,14,1.505,5.4,4.1
affections,10,1.792,2.75,2.3
affects,7,2.389,2.6,2.1
afferent,8,,2.75,3.25
affianced,9,0.602,3.4,3
affidavit,9,2.004,4.7,4.6
affidavits,10,1.505,4.65,4.95
affiliate,9,1.204,3.2,2.8
affiliated,10,1.613,3.25,3.65
affiliates,10,1.255,3.4,3.5
affiliation,11,1.415,3.25,3.6
affiliations,12,1.176,3.5,4.05
affinities,10,,3.75,2.9
affinity,8,1.477,3.1,2.5
affirm,6,1.255,2.45,1.85
affirmation,11,1.447,2.95,2.6
affirmations,12,1.041,3.45,3.2
affirmative,11,2.384,4,3.65
affirmatively,13,0.602,5.15,4.7
affirmed,8,0.903,2.75,2.4
affirming,9,0.602,3.1,2.5
affirms,7,0.477,2.65,2.2
affix,5,0.845,2.75,1.9
affixed,7,0.301,2.75,2.4
afflict,7,0.699,2.85,2.1
afflicted,9,1.819,2.95,2.75
affliction,10,1.785,2.95,2.6
afflictions,11,0.954,3.3,2.75
affluence,9,0.903,3.45,2.65
affluent,8,1.204,3.1,2.6
afford,6,3.356,2.5,1.7
afforded,8,1.447,2.8,2.1
affording,9,0.954,2.9,2.15
affords,7,1.176,2.6,1.8
affricate,9,,3.3,2.7
affront,7,1.491,2.8,2.6
affronted,9,0.477,3.4,2.7
affronting,10,,3.7,2.75
Afghan,6,1.477,2.85,2.7
Afghanistan,11,1.973,5.15,5.55
Afghans,7,1.041,3.3,2.85
aficionado,10,1.079,5.2,6.15
afield,6,0.845,2.55,1.9
afire,5,1.415,1.95,1.9
aflame,6,1.255,2.3,1.9
afloat,6,1.935,2.55,1.95
afoot,5,1.724,1.95,1.95
aforementioned,14,1.398,6,5.65
aforesaid,9,0.699,3.8,3.7
aforethought,12,0.602,5.25,3.85
afoul,5,1.079,2.05,1.9
afraid,6,4.101,2.6,1.95
Africa,6,2.981,2.75,2.75
African,7,2.539,2.7,2.7
Africans,8,1.74,2.8,3.4
afro,4,1.763,2,1.95
aft,3,2.258,1.5,1.4
after,5,4.542,1.85,1.8
afterbirth,10,0.778,4.55,4.5
aftercare,9,0.778,3.5,4.1
aftereffect,11,0.602,5.4,5.45
afterglow,9,1.23,4.25,4.55
afterlife,9,1.914,3.9,4.45
aftermath,9,1.732,3.65,4
afternoon,9,3.669,3.75,4.35
afternoons,10,2.009,4.3,4.75
afternoon's,11,,,
aftershave,10,1.748,4.45,4.25
aftertaste,10,1.079,3.85,4.45
afterthought,12,1.146,5.5,4.2
afterward,9,2.053,3.6,3.8
afterwards,10,2.854,3.75,4.55
again,5,4.607,1.95,2
against,7,4.012,2.9,2.3
Agamemnon,9,1.863,4.85,5.8
Agamemnon's,11,,,
agape,5,,1.95,1.95
agar,4,0.301,1.9,2
Agatha,6,,2.95,2.85
age,3,3.606,1.1,1.4
aged,4,2.265,1.65,1.95
ageless,7,1.204,2.55,2.75
agencies,8,2.217,2.9,3.4
agency,6,2.997,2.6,2.7
agenda,6,2.573,2.6,2.8
agent,5,3.719,1.9,2.35
agents,6,3.031,1.95,2.65
agent's,7,,,
ages,4,2.754,1.35,1.6
Aggie,5,2.029,2.05,1.55
Aggies,6,0.602,2.15,1.9
agglomerate,11,,4.65,4.25
agglomeration,13,,4.6,3.75
agglutinating,13,,5,4.55
agglutination,13,,4.7,4.2
aggrandize,10,0.301,4.6,3.95
aggravate,9,1.58,3.55,2.75
aggravated,10,1.813,3.75,3.15
aggravates,10,1,4.15,3.45
aggravation,11,1.778,3.55,2.75
aggregate,9,1.041,3.5,2.8
aggregation,11,0.477,3.45,2.65
aggregations,12,,3.6,3.1
aggression,10,2.158,3,2.4
aggressions,11,0.699,3.2,2.65
aggressive,10,2.608,3.3,2.55
aggressively,12,1.556,4.4,3.5
aggressiveness,14,1.322,5.1,4.05
aggressor,9,1.477,3.75,2.6
aggrieve,8,,3.35,1.75
aggrieved,9,1.041,3.6,2.4
aghast,6,0.903,2.9,1.95
agile,5,1.322,2,2.05
agilely,7,,2.9,3.05
agility,7,1.38,2.6,2.9
aging,5,2.121,1.8,1.75
agitate,7,1.362,2.6,2.65
agitated,8,2.111,2.7,2.75
agitating,9,0.903,2.9,3.35
agitation,9,1.415,2.55,2.65
agitator,8,1.079,2.85,3.2
agitators,9,1.146,3.25,3.6
agleam,6,,2.85,2.1
aglow,5,1.398,1.9,1.9
Agnes,5,,1.95,2.3
agnostic,8,1.301,3.3,3.55
agnostics,9,,3.7,3.95
ago,3,4.164,1.8,1.85
agonies,7,1.114,2.35,2.4
agonize,7,0.778,2.6,2.45
agonized,8,1.114,2.75,2.65
agonizes,8,,2.7,3.35
agonizing,9,1.568,3.6,3.35
agony,5,2.283,2,1.95
agoraphobia,11,0.903,5.5,6.1
agrarian,8,0.954,2.95,3.45
agree,5,3.518,1.9,1.85
agreeable,9,1.914,3.6,2.85
agreeableness,13,,5.55,5.1
agreeably,9,0.602,3.7,3.25
agreed,6,3.263,2.1,1.75
agreeing,8,2.029,2.8,2.15
agreement,9,2.951,3.4,2.9
agreements,10,1.623,3.65,3.4
agrees,6,2.342,1.9,1.85
agricultural,12,1.69,4.6,5.45
agriculturalist,15,0.477,5.95,7.25
agriculturally,14,,5.7,5.95
